Country,Currency,Exchange rate,Price perception,Avg rent local,Avg rent usd,Apples qty,Apples price local,apples per unit usd,Bananas qty,Bananas price local,bananas per unit USD,Tomatoes qty,Tomatoes price local,tomatoes per unit USD,Potatoes qty,Potatoes price local,potatoes per unit USD,Flour qty,Flour price local,flour per unit USD,Rice qty,Rice price local,rice per unit USD,Milk qty,Milk price local,milk per unit USD,Butter qty,Butter price local,butter per unit USD,Eggs qty,Eggs price local,eggs per unit USD,Chicken qty,Chicken price local,chicken per unit USD
Ukraine,UAH,0.036,Mid-range,1000,36,1,20,0.72,1,32,1.152,1,120,4.32,1,11,0.396,1.8,29,0.58,1,50,1.8,0.9,26,1.04,0.18,46,9.2,0.54,30,2,1,138,4.968
Ukraine,UAH,0.036,Mid-range,1500,54,1,24,0.864,1,34,1.224,1,36,1.296,1,14,0.504,1.8,29,0.58,1,46,1.656,0.9,21,0.84,0.18,38,7.6,0.54,37,2.466666667,1,95,3.42
Ukraine,UAH,0.036,Mid-range,1500,54,1,26,0.936,1,36,1.296,1,48,1.728,1,17,0.612,1.8,36,0.72,1,42,1.512,0.9,28,1.12,0.18,44,8.8,0.54,39,2.6,1,80,2.88
Ukraine,UAH,0.036,Mid-range,1500,54,1,28,1.008,1,36,1.296,1,190,6.84,1,19,0.684,1.8,25,0.5,1,40,1.44,0.9,34,1.36,0.18,54,10.8,0.54,42,2.8,1,85,3.06
USA,USD,1,Mid-range,4000,4000,0.453592,3.99,8.796451437,0.453592,0.79,1.741653292,0.453592,3.99,8.796451437,0.453592,1.29,2.843965502,0.453592,0.8,1.763699536,0.453592,2.598,5.727614244,0.0295735,0.04,1.35256226,0.0283495,0.28,9.876717402,1,0.42,0.42,0.453592,3.49,7.694139226
USA,USD,1,Mid-range,4000,4000,0.453592,3.49,7.694139226,0.453592,0.99,2.182578176,0.453592,0.25,0.551156105,0.453592,1,2.20462442,0.0283495,0.09,3.174659165,0.0283495,0.14,4.938358701,0.0295735,0.04,1.35256226,0.453592,3.99,8.796451437,1,0.39,0.39,0.453592,8.49,18.71726133
USA,USD,1,Mid-range,4000,4000,0.453592,2.49,5.489514806,0.453592,1.99,4.387202596,0.453592,1.48,3.262844142,0.453592,1.99,4.387202596,0.0283495,0.05,1.763699536,0.0283495,0.16,5.643838516,0.0295735,0.06,2.02884339,0.453592,6.99,15.4103247,1,0.41,0.41,0.453592,5.99,13.20570028
USA,USD,1,Budget (cheap),1795,1795,1.36078,3.23,2.373638648,0.453592,0.52,1.146404698,0.453592,1.08,2.380994374,0.453592,0.39,0.859803524,0.453592,0.32,0.705479814,0.453592,2.74,6.040670911,1.74484,3.58,2.051764059,0.454,2.98,6.563876652,12,6.98,0.581666667,0.454,4.46,9.823788546
USA,USD,1,Budget (cheap),1795,1795,1.36078,3.46,2.542659357,0.118,0.5,4.237288136,0.453592,1.98,4.365156352,0.453592,0.68,1.499144606,0.907185,1.78,1.962113571,0.907185,3.26,3.593533844,3.78541,3.4,0.898185401,0.454,2.98,6.563876652,12,4.68,0.39,0.454,5.18,11.40969163
USA,USD,1,Budget (cheap),1795,1795,1.36078,6.47,4.754626023,0,0,#DIV/0!,0.453592,2.57,5.66588476,0.453592,0.59,1.300728408,0.453592,0.45,0.992080989,0.453592,1.52,3.351029119,3.78541,4.38,1.157074135,0.454,3.47,7.643171806,18,3.13,0.173888889,0.454,3.48,7.665198238
